schemaname,tablename,policyname,cmd,qual,with_check
public,support_messages,support_messages_member,ALL,"(EXISTS ( SELECT 1
   FROM support_threads t
  WHERE ((t.id = support_messages.thread_id) AND is_org_member(t.organization_id))))","(EXISTS ( SELECT 1
   FROM support_threads t
  WHERE ((t.id = support_messages.thread_id) AND is_org_member(t.organization_id))))"
public,support_threads,support_threads_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,system_incidents,members read own incidents,SELECT,(((organization_id IS NOT NULL) AND is_org_member(organization_id)) OR is_platform_admin()),null
public,system_incidents,super admin read access system_incidents,SELECT,is_super_platform_admin(),null
public,technical_experiences,experiences_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,tool_transactions,tool_transactions_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,tools,tools_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,usage_adjustments,platform create adjustment,SELECT,platform_has_permission('usage.view'::text),null
public,usage_adjustments,platform insert adjustment,INSERT,null,platform_has_permission('usage.manage'::text)
public,usage_adjustments,super admin inserts usage adjustments,INSERT,null,is_super_platform_admin()
public,usage_adjustments,super admin read access usage_adjustments,SELECT,is_super_platform_admin(),null
public,usage_counters,owner reads usage counters,SELECT,((org_role(organization_id) = 'owner'::text) OR is_platform_admin()),null
public,usage_counters,super admin read access usage_counters,SELECT,is_super_platform_admin(),null
public,usage_events,owner reads usage events,SELECT,((org_role(organization_id) = 'owner'::text) OR is_platform_admin()),null
public,usage_events,super admin read access usage_events,SELECT,is_super_platform_admin(),null
public,work_orders,work read,SELECT,is_org_member(organization_id),null
public,work_orders,work write,ALL,(is_org_member(organization_id) AND (org_role(organization_id) <> 'viewer'::text)),(is_org_member(organization_id) AND (org_role(organization_id) <> 'viewer'::text))
