kind,on_table,name,definition
CONSTRAINT,checklist_templates,checklist_templates_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES assets(id) ON DELETE CASCADE
CONSTRAINT,checklist_templates,checklist_templates_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,checklist_templates,checklist_templates_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,checklist_templates,checklist_templates_pkey,PRIMARY KEY (id)
CONSTRAINT,checklist_templates,checklist_templates_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,checklist_templates,checklist_templates_removed_by_fkey,FOREIGN KEY (removed_by) REFERENCES auth.users(id)
CONSTRAINT,checklist_values,checklist_values_item_id_fkey,FOREIGN KEY (item_id) REFERENCES checklist_items(id)
CONSTRAINT,checklist_values,checklist_values_pkey,PRIMARY KEY (id)
CONSTRAINT,checklist_values,checklist_values_run_id_fkey,FOREIGN KEY (run_id) REFERENCES checklist_runs(id) ON DELETE CASCADE
CONSTRAINT,code_registry,code_registry_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,code_registry,code_registry_organization_id_code_value_key,"UNIQUE (organization_id, code_value)"
CONSTRAINT,code_registry,code_registry_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,code_registry,code_registry_pkey,PRIMARY KEY (id)
CONSTRAINT,code_registry,code_registry_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,company_feature_blocks,company_feature_blocks_blocked_by_fkey,FOREIGN KEY (blocked_by) REFERENCES auth.users(id)
CONSTRAINT,company_feature_blocks,company_feature_blocks_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,company_feature_blocks,company_feature_blocks_pkey,"PRIMARY KEY (organization_id, feature)"
CONSTRAINT,complimentary_access,complimentary_access_access_type_check,"CHECK ((access_type = ANY (ARRAY['complimentary'::text, 'internal'::text, 'manual'::text])))"
CONSTRAINT,complimentary_access,complimentary_access_granted_by_fkey,FOREIGN KEY (granted_by) REFERENCES auth.users(id)
CONSTRAINT,complimentary_access,complimentary_access_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,complimentary_access,complimentary_access_pkey,PRIMARY KEY (organization_id)
CONSTRAINT,complimentary_access,complimentary_access_revoked_by_fkey,FOREIGN KEY (revoked_by) REFERENCES auth.users(id)
CONSTRAINT,condition_alarms,condition_alarms_acknowledged_by_fkey,FOREIGN KEY (acknowledged_by) REFERENCES auth.users(id)
