schema_line
TABLE: backup_jobs.requested_by | uuid | nullable=NO | default=none
TABLE: backup_jobs.started_at | timestamp with time zone | nullable=YES | default=none
TABLE: backup_jobs.completed_at | timestamp with time zone | nullable=YES | default=none
TABLE: backup_jobs.backup_reference | text | nullable=YES | default=none
TABLE: backup_jobs.size_bytes | bigint | nullable=YES | default=none
TABLE: backup_jobs.checksum | text | nullable=YES | default=none
TABLE: backup_jobs.error | text | nullable=YES | default=none
TABLE: backup_jobs.metadata | jsonb | nullable=NO | default='{}'::jsonb
TABLE: backup_jobs.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: billing_events.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: billing_events.provider | text | nullable=NO | default=none
TABLE: billing_events.provider_event_id | text | nullable=NO | default=none
TABLE: billing_events.organization_id | uuid | nullable=YES | default=none
TABLE: billing_events.event_type | text | nullable=NO | default=none
TABLE: billing_events.status | text | nullable=NO | default='received'::text
TABLE: billing_events.payload_hash | text | nullable=YES | default=none
TABLE: billing_events.error | text | nullable=YES | default=none
TABLE: billing_events.received_at | timestamp with time zone | nullable=NO | default=now()
TABLE: billing_events.processed_at | timestamp with time zone | nullable=YES | default=none
TABLE: checklist_items.id | uuid | nullable=NO | default=none
TABLE: checklist_items.template_id | uuid | nullable=NO | default=none
TABLE: checklist_items.sort_order | integer | nullable=NO | default=none
TABLE: checklist_items.label | text | nullable=NO | default=none
TABLE: checklist_items.input_type | text | nullable=NO | default=none
TABLE: checklist_items.unit | text | nullable=YES | default=none
TABLE: checklist_items.required | boolean | nullable=YES | default=true
TABLE: checklist_items.limits | jsonb | nullable=YES | default='{}'::jsonb
TABLE: checklist_runs.id | uuid | nullable=NO | default=none
TABLE: checklist_runs.organization_id | uuid | nullable=NO | default=none
TABLE: checklist_runs.plant_id | uuid | nullable=NO | default=none
TABLE: checklist_runs.template_id | uuid | nullable=NO | default=none
TABLE: checklist_runs.asset_id | uuid | nullable=YES | default=none
TABLE: checklist_runs.performed_by | uuid | nullable=NO | default=none
TABLE: checklist_runs.shift_name | text | nullable=YES | default=none
TABLE: checklist_runs.status | text | nullable=NO | default=none
TABLE: checklist_runs.notes | text | nullable=YES | default=none
TABLE: checklist_runs.performed_at | timestamp with time zone | nullable=YES | default=now()
TABLE: checklist_runs.designation | text | nullable=YES | default=none
TABLE: checklist_runs.completed_at | timestamp with time zone | nullable=YES | default=none
TABLE: checklist_runs.supervisor_approved_by | uuid | nullable=YES | default=none
TABLE: checklist_runs.supervisor_approved_at | timestamp with time zone | nullable=YES | default=none
TABLE: checklist_runs.signature_data | text | nullable=YES | default=none
TABLE: checklist_templates.id | uuid | nullable=NO | default=none
TABLE: checklist_templates.organization_id | uuid | nullable=NO | default=none
TABLE: checklist_templates.plant_id | uuid | nullable=NO | default=none
TABLE: checklist_templates.asset_id | uuid | nullable=YES | default=none
TABLE: checklist_templates.name | text | nullable=NO | default=none
TABLE: checklist_templates.schedule | text | nullable=YES | default=none
TABLE: checklist_templates.shift_name | text | nullable=YES | default=none
TABLE: checklist_templates.instructions | text | nullable=YES | default=none
TABLE: checklist_templates.active | boolean | nullable=YES | default=true
TABLE: checklist_templates.created_by | uuid | nullable=YES | default=none
TABLE: checklist_templates.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: checklist_templates.updated_at | timestamp with time zone | nullable=YES | default=now()
TABLE: checklist_templates.removed_at | timestamp with time zone | nullable=YES | default=none
TABLE: checklist_templates.removed_by | uuid | nullable=YES | default=none
TABLE: checklist_templates.row_version | bigint | nullable=NO | default=1
TABLE: checklist_values.id | uuid | nullable=NO | default=none
TABLE: checklist_values.run_id | uuid | nullable=NO | default=none
TABLE: checklist_values.item_id | uuid | nullable=NO | default=none
TABLE: checklist_values.value | jsonb | nullable=NO | default=none
TABLE: checklist_values.failed | boolean | nullable=NO | default=false
TABLE: checklist_values.note | text | nullable=YES | default=none
TABLE: code_registry.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: code_registry.organization_id | uuid | nullable=NO | default=none
TABLE: code_registry.plant_id | uuid | nullable=YES | default=none
TABLE: code_registry.code_value | text | nullable=NO | default=none
TABLE: code_registry.code_format | text | nullable=NO | default='QR_CODE'::text
TABLE: code_registry.entity_type | text | nullable=NO | default=none
TABLE: code_registry.entity_id | text | nullable=NO | default=none
TABLE: code_registry.label | text | nullable=YES | default=none
TABLE: code_registry.active | boolean | nullable=NO | default=true
TABLE: code_registry.created_by | uuid | nullable=YES | default=none
TABLE: code_registry.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: code_registry.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: company_feature_blocks.organization_id | uuid | nullable=NO | default=none
TABLE: company_feature_blocks.feature | text | nullable=NO | default=none
TABLE: company_feature_blocks.blocked | boolean | nullable=NO | default=true
TABLE: company_feature_blocks.reason | text | nullable=NO | default=none
TABLE: company_feature_blocks.blocked_by | uuid | nullable=NO | default=none
TABLE: company_feature_blocks.expires_at | timestamp with time zone | nullable=YES | default=none
TABLE: company_feature_blocks.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: complimentary_access.organization_id | uuid | nullable=NO | default=none
TABLE: complimentary_access.access_type | text | nullable=NO | default='complimentary'::text
TABLE: complimentary_access.starts_at | timestamp with time zone | nullable=NO | default=now()
TABLE: complimentary_access.ends_at | timestamp with time zone | nullable=YES | default=none
TABLE: complimentary_access.reason | text | nullable=NO | default=none
TABLE: complimentary_access.never_auto_suspend | boolean | nullable=NO | default=true
TABLE: complimentary_access.granted_by | uuid | nullable=NO | default=none
TABLE: complimentary_access.revoked_at | timestamp with time zone | nullable=YES | default=none
TABLE: complimentary_access.revoked_by | uuid | nullable=YES | default=none
TABLE: complimentary_access.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: complimentary_access.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: condition_alarms.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: condition_alarms.organization_id | uuid | nullable=NO | default=none
TABLE: condition_alarms.plant_id | uuid | nullable=NO | default=none
TABLE: condition_alarms.asset_id | uuid | nullable=YES | default=none
TABLE: condition_alarms.recording_id | uuid | nullable=NO | default=none
TABLE: condition_alarms.alarm_type | text | nullable=NO | default=none
TABLE: condition_alarms.severity | text | nullable=NO | default=none
TABLE: condition_alarms.message | text | nullable=NO | default=none
TABLE: condition_alarms.metric | text | nullable=YES | default=none
TABLE: condition_alarms.measured_value | numeric | nullable=YES | default=none
