schema_line
TABLE: organization_entitlements.entitlement | text | nullable=NO | default=none
TABLE: organization_entitlements.enabled | boolean | nullable=NO | default=none
TABLE: organization_entitlements.numeric_limit | bigint | nullable=YES | default=none
TABLE: organization_entitlements.expires_at | timestamp with time zone | nullable=YES | default=none
TABLE: organization_entitlements.reason | text | nullable=YES | default=none
TABLE: organization_entitlements.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: organization_entitlements.updated_by | uuid | nullable=YES | default=none
TABLE: organization_members.organization_id | uuid | nullable=NO | default=none
TABLE: organization_members.user_id | uuid | nullable=NO | default=none
TABLE: organization_members.role | text | nullable=NO | default=none
TABLE: organization_members.active | boolean | nullable=NO | default=true
TABLE: organization_members.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: organization_members.permissions | jsonb | nullable=NO | default='{}'::jsonb
TABLE: organization_members.deactivated_at | timestamp with time zone | nullable=YES | default=none
TABLE: organization_members.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: organization_settings.organization_id | uuid | nullable=NO | default=none
TABLE: organization_settings.app_name | text | nullable=YES | default='PlantMaster Pro'::text
TABLE: organization_settings.plant_display_name | text | nullable=YES | default=none
TABLE: organization_settings.logo_path | text | nullable=YES | default=none
TABLE: organization_settings.primary_color | text | nullable=YES | default='#3b82f6'::text
TABLE: organization_settings.secondary_color | text | nullable=YES | default='#06b6d4'::text
TABLE: organization_settings.theme | text | nullable=YES | default='industrial'::text
TABLE: organization_settings.pattern | text | nullable=YES | default='grid'::text
TABLE: organization_settings.address | text | nullable=YES | default=none
TABLE: organization_settings.contact | text | nullable=YES | default=none
TABLE: organization_settings.email | text | nullable=YES | default=none
TABLE: organization_settings.report_time | time without time zone | nullable=YES | default='11:00:00'::time without time zone
TABLE: organization_settings.footer_text | text | nullable=YES | default=none
TABLE: organization_settings.updated_at | timestamp with time zone | nullable=YES | default=now()
TABLE: organization_settings.report_recipients | ARRAY | nullable=NO | default='{}'::text[]
TABLE: organization_settings.report_approval_required | boolean | nullable=NO | default=true
TABLE: organization_settings.letterhead_path | text | nullable=YES | default=none
TABLE: organization_settings.signatories | jsonb | nullable=NO | default='[]'::jsonb
TABLE: organization_subscriptions.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: organization_subscriptions.organization_id | uuid | nullable=NO | default=none
TABLE: organization_subscriptions.plan_id | uuid | nullable=NO | default=none
TABLE: organization_subscriptions.status | text | nullable=NO | default='trial'::text
TABLE: organization_subscriptions.provider | text | nullable=YES | default=none
TABLE: organization_subscriptions.provider_customer_id | text | nullable=YES | default=none
TABLE: organization_subscriptions.provider_subscription_id | text | nullable=YES | default=none
TABLE: organization_subscriptions.current_period_start | timestamp with time zone | nullable=NO | default=now()
TABLE: organization_subscriptions.current_period_end | timestamp with time zone | nullable=YES | default=none
TABLE: organization_subscriptions.trial_ends_at | timestamp with time zone | nullable=YES | default=none
TABLE: organization_subscriptions.cancel_at_period_end | boolean | nullable=NO | default=false
TABLE: organization_subscriptions.grace_ends_at | timestamp with time zone | nullable=YES | default=none
TABLE: organization_subscriptions.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: organization_subscriptions.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: organizations.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: organizations.name | text | nullable=NO | default=none
TABLE: organizations.slug | text | nullable=YES | default=none
TABLE: organizations.logo_path | text | nullable=YES | default=none
TABLE: organizations.created_by | uuid | nullable=NO | default=none
TABLE: organizations.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: organizations.commercial_status | text | nullable=NO | default='active'::text
TABLE: organizations.status_reason | text | nullable=YES | default=none
TABLE: organizations.trial_ends_at | timestamp with time zone | nullable=YES | default=none
TABLE: organizations.suspended_at | timestamp with time zone | nullable=YES | default=none
TABLE: organizations.deletion_scheduled_at | timestamp with time zone | nullable=YES | default=none
TABLE: organizations.commercial_updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: permits.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: permits.plant_id | uuid | nullable=NO | default=none
TABLE: permits.work_order_id | uuid | nullable=NO | default=none
TABLE: permits.permit_type | text | nullable=NO | default=none
TABLE: permits.status | text | nullable=NO | default='pending'::text
TABLE: permits.requested_by | uuid | nullable=NO | default=none
TABLE: permits.approved_by | uuid | nullable=YES | default=none
TABLE: permits.approved_at | timestamp with time zone | nullable=YES | default=none
TABLE: permits.expires_at | timestamp with time zone | nullable=YES | default=none
TABLE: permits.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: plant_members.plant_id | uuid | nullable=NO | default=none
TABLE: plant_members.user_id | uuid | nullable=NO | default=none
TABLE: plant_members.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: plantmaster_sync.site_id | text | nullable=NO | default=none
TABLE: plantmaster_sync.data | jsonb | nullable=NO | default='{}'::jsonb
TABLE: plantmaster_sync.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: plants.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: plants.organization_id | uuid | nullable=NO | default=none
TABLE: plants.name | text | nullable=NO | default=none
TABLE: plants.location | text | nullable=YES | default=none
TABLE: plants.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: platform_admins.user_id | uuid | nullable=NO | default=none
TABLE: platform_admins.active | boolean | nullable=NO | default=true
TABLE: platform_admins.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: platform_admins.created_by | uuid | nullable=YES | default=none
TABLE: platform_admins.admin_role | text | nullable=NO | default='super_admin'::text
TABLE: platform_admins.permissions | jsonb | nullable=NO | default='{}'::jsonb
TABLE: platform_admins.display_name | text | nullable=YES | default=none
TABLE: platform_admins.last_login_at | timestamp with time zone | nullable=YES | default=none
TABLE: platform_admins.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: platform_notifications.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: platform_notifications.severity | text | nullable=NO | default=none
TABLE: platform_notifications.title | text | nullable=NO | default=none
TABLE: platform_notifications.body | text | nullable=YES | default=none
TABLE: platform_notifications.component | text | nullable=YES | default=none
TABLE: platform_notifications.organization_id | uuid | nullable=YES | default=none
TABLE: platform_notifications.read_at | timestamp with time zone | nullable=YES | default=none
TABLE: platform_notifications.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: platform_support_messages.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: platform_support_messages.ticket_id | uuid | nullable=NO | default=none
TABLE: platform_support_messages.user_id | uuid | nullable=NO | default=none
TABLE: platform_support_messages.message | text | nullable=NO | default=none
TABLE: platform_support_messages.internal | boolean | nullable=NO | default=false
TABLE: platform_support_messages.attachment_path | text | nullable=YES | default=none
TABLE: platform_support_messages.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: platform_support_tickets.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: platform_support_tickets.ticket_number | bigint | nullable=NO | default=nextval('platform_ticket_number_seq'::regclass)
TABLE: platform_support_tickets.organization_id | uuid | nullable=YES | default=none
TABLE: platform_support_tickets.opened_by | uuid | nullable=NO | default=none
TABLE: platform_support_tickets.owner_email | text | nullable=YES | default=none
TABLE: platform_support_tickets.category | text | nullable=NO | default=none
TABLE: platform_support_tickets.priority | text | nullable=NO | default='medium'::text
TABLE: platform_support_tickets.status | text | nullable=NO | default='new'::text
TABLE: platform_support_tickets.subject | text | nullable=NO | default=none
TABLE: platform_support_tickets.description | text | nullable=NO | default=none
TABLE: platform_support_tickets.app_version | text | nullable=YES | default=none
TABLE: platform_support_tickets.device_info | jsonb | nullable=NO | default='{}'::jsonb
TABLE: platform_support_tickets.assigned_to | uuid | nullable=YES | default=none
TABLE: platform_support_tickets.related_incident_id | uuid | nullable=YES | default=none
TABLE: platform_support_tickets.resolution | text | nullable=YES | default=none
TABLE: platform_support_tickets.resolved_at | timestamp with time zone | nullable=YES | default=none
TABLE: platform_support_tickets.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: platform_support_tickets.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: problem_cases.id | uuid | nullable=NO | default=none
TABLE: problem_cases.organization_id | uuid | nullable=NO | default=none
TABLE: problem_cases.plant_id | uuid | nullable=NO | default=none
TABLE: problem_cases.asset_id | uuid | nullable=YES | default=none
TABLE: problem_cases.title | text | nullable=NO | default=none
TABLE: problem_cases.symptoms | text | nullable=NO | default=none
TABLE: problem_cases.alarm_code | text | nullable=YES | default=none
TABLE: problem_cases.readings | jsonb | nullable=YES | default='{}'::jsonb
TABLE: problem_cases.mode | text | nullable=YES | default='offline'::text
TABLE: problem_cases.ai_answer | jsonb | nullable=YES | default=none
TABLE: problem_cases.actual_cause | text | nullable=YES | default=none
TABLE: problem_cases.verified_solution | text | nullable=YES | default=none
TABLE: problem_cases.status | text | nullable=YES | default='open'::text
TABLE: problem_cases.created_by | uuid | nullable=YES | default=none
TABLE: problem_cases.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: problem_cases.resolved_at | timestamp with time zone | nullable=YES | default=none
TABLE: profiles.id | uuid | nullable=NO | default=none
TABLE: profiles.full_name | text | nullable=NO | default=''::text
TABLE: profiles.avatar_path | text | nullable=YES | default=none
TABLE: profiles.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: profiles.employee_id | text | nullable=YES | default=none
TABLE: profiles.designation | text | nullable=YES | default=none
TABLE: profiles.skills | ARRAY | nullable=NO | default='{}'::text[]
TABLE: profiles.contact | text | nullable=YES | default=none
TABLE: profiles.default_shift | text | nullable=YES | default='General Shift'::text
TABLE: profiles.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: profiles.labor_rate_hourly | numeric | nullable=YES | default=0.00
TABLE: purchase_order_lines.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: purchase_order_lines.purchase_order_id | uuid | nullable=NO | default=none
TABLE: purchase_order_lines.spare_id | uuid | nullable=YES | default=none
TABLE: purchase_order_lines.description | text | nullable=NO | default=none
TABLE: purchase_order_lines.quantity | numeric | nullable=NO | default=none
TABLE: purchase_order_lines.unit | text | nullable=YES | default='pcs'::text
TABLE: purchase_order_lines.unit_price | numeric | nullable=NO | default=0
TABLE: purchase_order_lines.line_total | numeric | nullable=NO | default=0
TABLE: purchase_order_lines.received_qty | numeric | nullable=NO | default=0
TABLE: purchase_order_lines.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: purchase_orders.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: purchase_orders.organization_id | uuid | nullable=NO | default=none
TABLE: purchase_orders.plant_id | uuid | nullable=NO | default=none
TABLE: purchase_orders.po_number | text | nullable=NO | default=none
TABLE: purchase_orders.supplier_id | uuid | nullable=YES | default=none
TABLE: purchase_orders.status | text | nullable=NO | default='draft'::text
TABLE: purchase_orders.currency | text | nullable=NO | default='PKR'::text
TABLE: purchase_orders.subtotal | numeric | nullable=NO | default=0
TABLE: purchase_orders.tax_percent | numeric | nullable=NO | default=0
TABLE: purchase_orders.tax_amount | numeric | nullable=NO | default=0
TABLE: purchase_orders.total | numeric | nullable=NO | default=0
TABLE: purchase_orders.expected_date | date | nullable=YES | default=none
TABLE: purchase_orders.received_date | date | nullable=YES | default=none
TABLE: purchase_orders.notes | text | nullable=YES | default=none
TABLE: purchase_orders.requested_by | uuid | nullable=YES | default=none
TABLE: purchase_orders.approved_by | uuid | nullable=YES | default=none
TABLE: purchase_orders.approved_at | timestamp with time zone | nullable=YES | default=none
TABLE: purchase_orders.removed_at | timestamp with time zone | nullable=YES | default=none
TABLE: purchase_orders.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: purchase_orders.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: push_cursors.organization_id | uuid | nullable=NO | default=none
TABLE: push_cursors.last_created_at | timestamp with time zone | nullable=NO | default='1970-01-01 00:00:00+00'::timestamp with time zone
TABLE: push_cursors.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: push_subscriptions.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: push_subscriptions.organization_id | uuid | nullable=NO | default=none
TABLE: push_subscriptions.user_id | uuid | nullable=NO | default=none
TABLE: push_subscriptions.endpoint | text | nullable=NO | default=none
TABLE: push_subscriptions.p256dh | text | nullable=NO | default=none
TABLE: push_subscriptions.auth | text | nullable=NO | default=none
TABLE: push_subscriptions.ua | text | nullable=YES | default=none
TABLE: push_subscriptions.last_error_at | timestamp with time zone | nullable=YES | default=none
TABLE: push_subscriptions.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: qa_environments.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: qa_environments.name | text | nullable=NO | default=none
TABLE: qa_environments.organization_id | uuid | nullable=YES | default=none
TABLE: qa_environments.plant_id | uuid | nullable=YES | default=none
TABLE: qa_environments.isolation_organization_id | uuid | nullable=YES | default=none
TABLE: qa_environments.status | text | nullable=NO | default='creating'::text
TABLE: qa_environments.user_ids | jsonb | nullable=NO | default='{}'::jsonb
TABLE: qa_environments.seed_summary | jsonb | nullable=NO | default='{}'::jsonb
TABLE: qa_environments.last_error | text | nullable=YES | default=none
TABLE: qa_environments.created_by | uuid | nullable=NO | default=none
TABLE: qa_environments.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: qa_environments.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: qa_environments.deleted_at | timestamp with time zone | nullable=YES | default=none
TABLE: qa_manual_checks.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: qa_manual_checks.run_id | uuid | nullable=NO | default=none
TABLE: qa_manual_checks.category | text | nullable=NO | default=none
TABLE: qa_manual_checks.check_name | text | nullable=NO | default=none
TABLE: qa_manual_checks.instructions | text | nullable=NO | default=none
TABLE: qa_manual_checks.status | text | nullable=NO | default='pending'::text
TABLE: qa_manual_checks.result_notes | text | nullable=YES | default=none
TABLE: qa_manual_checks.tested_by | uuid | nullable=YES | default=none
TABLE: qa_manual_checks.tested_at | timestamp with time zone | nullable=YES | default=none
TABLE: qa_test_results.id | bigint | nullable=NO | default=none
TABLE: qa_test_results.run_id | uuid | nullable=NO | default=none
TABLE: qa_test_results.category | text | nullable=NO | default=none
TABLE: qa_test_results.test_name | text | nullable=NO | default=none
TABLE: qa_test_results.status | text | nullable=NO | default=none
TABLE: qa_test_results.expected | text | nullable=YES | default=none
TABLE: qa_test_results.actual | text | nullable=YES | default=none
TABLE: qa_test_results.error | text | nullable=YES | default=none
TABLE: qa_test_results.duration_ms | integer | nullable=YES | default=none
TABLE: qa_test_results.evidence | jsonb | nullable=NO | default='{}'::jsonb
TABLE: qa_test_results.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: qa_test_runs.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: qa_test_runs.environment_id | uuid | nullable=NO | default=none
TABLE: qa_test_runs.status | text | nullable=NO | default='running'::text
TABLE: qa_test_runs.include_ai | boolean | nullable=NO | default=false
TABLE: qa_test_runs.total_tests | integer | nullable=NO | default=0
TABLE: qa_test_runs.passed | integer | nullable=NO | default=0
TABLE: qa_test_runs.failed | integer | nullable=NO | default=0
TABLE: qa_test_runs.blocked | integer | nullable=NO | default=0
TABLE: qa_test_runs.app_version | text | nullable=YES | default=none
TABLE: qa_test_runs.runner_version | text | nullable=NO | default='1.0.0'::text
TABLE: qa_test_runs.started_by | uuid | nullable=NO | default=none
TABLE: qa_test_runs.started_at | timestamp with time zone | nullable=NO | default=now()
TABLE: qa_test_runs.completed_at | timestamp with time zone | nullable=YES | default=none
TABLE: qa_test_runs.summary | jsonb | nullable=NO | default='{}'::jsonb
TABLE: quota_overrides.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: quota_overrides.organization_id | uuid | nullable=NO | default=none
TABLE: quota_overrides.metric | text | nullable=NO | default=none
TABLE: quota_overrides.override_type | text | nullable=NO | default=none
TABLE: quota_overrides.value | bigint | nullable=YES | default=none
TABLE: quota_overrides.starts_at | timestamp with time zone | nullable=NO | default=now()
TABLE: quota_overrides.ends_at | timestamp with time zone | nullable=YES | default=none
TABLE: quota_overrides.reason | text | nullable=NO | default=none
TABLE: quota_overrides.active | boolean | nullable=NO | default=true
TABLE: quota_overrides.created_by | uuid | nullable=NO | default=none
TABLE: quota_overrides.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: quota_overrides.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: report_dispatches.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: report_dispatches.organization_id | uuid | nullable=NO | default=none
TABLE: report_dispatches.plant_id | uuid | nullable=YES | default=none
TABLE: report_dispatches.report_date | date | nullable=NO | default=none
TABLE: report_dispatches.recipient | text | nullable=NO | default=none
TABLE: report_dispatches.summary | text | nullable=YES | default=none
TABLE: report_dispatches.status | text | nullable=YES | default='pending'::text
TABLE: report_dispatches.approved_by | uuid | nullable=YES | default=none
TABLE: report_dispatches.sent_at | timestamp with time zone | nullable=YES | default=none
TABLE: report_dispatches.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: restore_drills.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: restore_drills.backup_job_id | uuid | nullable=YES | default=none
TABLE: restore_drills.status | text | nullable=NO | default='planned'::text
TABLE: restore_drills.environment | text | nullable=NO | default='non_production'::text
TABLE: restore_drills.rpo_minutes | integer | nullable=YES | default=none
TABLE: restore_drills.rto_minutes | integer | nullable=YES | default=none
TABLE: restore_drills.database_verified | boolean | nullable=YES | default=none
TABLE: restore_drills.storage_verified | boolean | nullable=YES | default=none
TABLE: restore_drills.notes | text | nullable=YES | default=none
TABLE: restore_drills.performed_by | uuid | nullable=YES | default=none
TABLE: restore_drills.scheduled_at | timestamp with time zone | nullable=YES | default=none
TABLE: restore_drills.started_at | timestamp with time zone | nullable=YES | default=none
TABLE: restore_drills.completed_at | timestamp with time zone | nullable=YES | default=none
TABLE: restore_drills.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: scan_entity_links.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: scan_entity_links.organization_id | uuid | nullable=NO | default=none
TABLE: scan_entity_links.scan_session_id | uuid | nullable=NO | default=none
TABLE: scan_entity_links.entity_type | text | nullable=NO | default=none
TABLE: scan_entity_links.entity_id | text | nullable=NO | default=none
TABLE: scan_entity_links.relation | text | nullable=NO | default='attachment'::text
TABLE: scan_entity_links.linked_by | uuid | nullable=NO | default=none
TABLE: scan_entity_links.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: scan_pages.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: scan_pages.session_id | uuid | nullable=NO | default=none
TABLE: scan_pages.page_number | integer | nullable=NO | default=none
TABLE: scan_pages.storage_path | text | nullable=YES | default=none
TABLE: scan_pages.enhanced_path | text | nullable=YES | default=none
TABLE: scan_pages.mime_type | text | nullable=YES | default=none
TABLE: scan_pages.size_bytes | bigint | nullable=YES | default=none
TABLE: scan_pages.width | integer | nullable=YES | default=none
TABLE: scan_pages.height | integer | nullable=YES | default=none
TABLE: scan_pages.rotation | integer | nullable=NO | default=0
TABLE: scan_pages.enhancement | text | nullable=YES | default='original'::text
TABLE: scan_pages.extracted_text | text | nullable=YES | default=none
TABLE: scan_pages.structured_result | jsonb | nullable=NO | default='{}'::jsonb
TABLE: scan_pages.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: scan_sessions.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: scan_sessions.organization_id | uuid | nullable=NO | default=none
TABLE: scan_sessions.plant_id | uuid | nullable=YES | default=none
TABLE: scan_sessions.mode | text | nullable=NO | default=none
TABLE: scan_sessions.source_type | text | nullable=NO | default='camera'::text
TABLE: scan_sessions.status | text | nullable=NO | default='draft'::text
TABLE: scan_sessions.title | text | nullable=YES | default=none
TABLE: scan_sessions.original_path | text | nullable=YES | default=none
TABLE: scan_sessions.enhanced_path | text | nullable=YES | default=none
TABLE: scan_sessions.thumbnail_path | text | nullable=YES | default=none
TABLE: scan_sessions.mime_type | text | nullable=YES | default=none
TABLE: scan_sessions.file_name | text | nullable=YES | default=none
TABLE: scan_sessions.file_size | bigint | nullable=YES | default=none
TABLE: scan_sessions.detected_codes | jsonb | nullable=NO | default='[]'::jsonb
TABLE: scan_sessions.extracted_text | text | nullable=YES | default=none
TABLE: scan_sessions.structured_result | jsonb | nullable=NO | default='{}'::jsonb
TABLE: scan_sessions.confidence | text | nullable=YES | default=none
TABLE: scan_sessions.safety_notes | text | nullable=YES | default=none
TABLE: scan_sessions.linked_entity_type | text | nullable=YES | default=none
TABLE: scan_sessions.linked_entity_id | text | nullable=YES | default=none
TABLE: scan_sessions.created_by | uuid | nullable=NO | default=none
TABLE: scan_sessions.worker_name | text | nullable=NO | default=none
TABLE: scan_sessions.designation | text | nullable=YES | default=none
TABLE: scan_sessions.shift_name | text | nullable=YES | default=none
TABLE: scan_sessions.approved_by | uuid | nullable=YES | default=none
TABLE: scan_sessions.approved_at | timestamp with time zone | nullable=YES | default=none
TABLE: scan_sessions.removed_at | timestamp with time zone | nullable=YES | default=none
TABLE: scan_sessions.removed_by | uuid | nullable=YES | default=none
TABLE: scan_sessions.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: scan_sessions.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: sensor_devices.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: sensor_devices.organization_id | uuid | nullable=NO | default=none
TABLE: sensor_devices.plant_id | uuid | nullable=YES | default=none
TABLE: sensor_devices.name | text | nullable=NO | default=none
TABLE: sensor_devices.sensor_type | text | nullable=NO | default=none
TABLE: sensor_devices.manufacturer | text | nullable=YES | default=none
TABLE: sensor_devices.model | text | nullable=YES | default=none
TABLE: sensor_devices.serial_number | text | nullable=YES | default=none
TABLE: sensor_devices.calibration_date | date | nullable=YES | default=none
TABLE: sensor_devices.calibration_due | date | nullable=YES | default=none
TABLE: sensor_devices.protocol_details | jsonb | nullable=NO | default='{}'::jsonb
TABLE: sensor_devices.active | boolean | nullable=NO | default=true
TABLE: sensor_devices.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: shift_assignments.id | uuid | nullable=NO | default=none
TABLE: shift_assignments.organization_id | uuid | nullable=NO | default=none
TABLE: shift_assignments.plant_id | uuid | nullable=NO | default=none
TABLE: shift_assignments.user_id | uuid | nullable=NO | default=none
TABLE: shift_assignments.shift_name | text | nullable=NO | default=none
TABLE: shift_assignments.work_date | date | nullable=NO | default=none
TABLE: shift_assignments.status | text | nullable=YES | default='scheduled'::text
TABLE: shift_assignments.created_by | uuid | nullable=YES | default=none
TABLE: shift_assignments.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: shift_handovers.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: shift_handovers.organization_id | uuid | nullable=NO | default=none
TABLE: shift_handovers.plant_id | uuid | nullable=NO | default=none
TABLE: shift_handovers.work_date | date | nullable=NO | default=CURRENT_DATE
TABLE: shift_handovers.from_shift | text | nullable=NO | default=none
TABLE: shift_handovers.to_shift | text | nullable=NO | default=none
TABLE: shift_handovers.summary | text | nullable=NO | default=none
TABLE: shift_handovers.pending_work | text | nullable=YES | default=none
TABLE: shift_handovers.safety_notes | text | nullable=YES | default=none
TABLE: shift_handovers.created_by | uuid | nullable=NO | default=none
TABLE: shift_handovers.worker_name | text | nullable=NO | default=none
TABLE: shift_handovers.designation | text | nullable=YES | default=none
TABLE: shift_handovers.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: spares.id | uuid | nullable=NO | default=none
TABLE: spares.organization_id | uuid | nullable=NO | default=none
TABLE: spares.plant_id | uuid | nullable=NO | default=none
TABLE: spares.part_number | text | nullable=YES | default=none
TABLE: spares.description | text | nullable=NO | default=none
TABLE: spares.asset_id | uuid | nullable=YES | default=none
TABLE: spares.stock | numeric | nullable=YES | default=0
TABLE: spares.min_stock | numeric | nullable=YES | default=0
TABLE: spares.unit | text | nullable=YES | default=none
TABLE: spares.unit_cost | numeric | nullable=YES | default=none
TABLE: spares.bin_location | text | nullable=YES | default=none
TABLE: spares.supplier | text | nullable=YES | default=none
TABLE: spares.updated_at | timestamp with time zone | nullable=YES | default=now()
TABLE: spares.removed_at | timestamp with time zone | nullable=YES | default=none
TABLE: spares.removed_by | uuid | nullable=YES | default=none
TABLE: spares.row_version | bigint | nullable=NO | default=1
TABLE: storage_reservations.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: storage_reservations.organization_id | uuid | nullable=NO | default=none
TABLE: storage_reservations.user_id | uuid | nullable=NO | default=none
TABLE: storage_reservations.bytes | bigint | nullable=NO | default=none
TABLE: storage_reservations.file_name | text | nullable=YES | default=none
TABLE: storage_reservations.mime_type | text | nullable=YES | default=none
TABLE: storage_reservations.status | text | nullable=NO | default='reserved'::text
TABLE: storage_reservations.expires_at | timestamp with time zone | nullable=NO | default=(now() + '00:15:00'::interval)
TABLE: storage_reservations.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: storage_usage_events.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: storage_usage_events.organization_id | uuid | nullable=NO | default=none
TABLE: storage_usage_events.user_id | uuid | nullable=YES | default=none
TABLE: storage_usage_events.event_type | text | nullable=NO | default=none
TABLE: storage_usage_events.object_path | text | nullable=YES | default=none
TABLE: storage_usage_events.bytes | bigint | nullable=NO | default=0
TABLE: storage_usage_events.file_metadata_id | uuid | nullable=YES | default=none
TABLE: storage_usage_events.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: subscription_plans.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: subscription_plans.code | text | nullable=NO | default=none
TABLE: subscription_plans.name | text | nullable=NO | default=none
TABLE: subscription_plans.description | text | nullable=YES | default=none
TABLE: subscription_plans.active | boolean | nullable=NO | default=true
TABLE: subscription_plans.currency | text | nullable=NO | default='USD'::text
TABLE: subscription_plans.price_monthly | numeric | nullable=NO | default=0
TABLE: subscription_plans.price_yearly | numeric | nullable=NO | default=0
TABLE: subscription_plans.max_workers | integer | nullable=NO | default=5
TABLE: subscription_plans.max_plants | integer | nullable=NO | default=1
TABLE: subscription_plans.max_storage_bytes | bigint | nullable=NO | default=524288000
TABLE: subscription_plans.max_bandwidth_bytes_month | bigint | nullable=NO | default='2147483648'::bigint
TABLE: subscription_plans.max_files | integer | nullable=NO | default=500
TABLE: subscription_plans.max_file_bytes | bigint | nullable=NO | default=52428800
TABLE: subscription_plans.ai_requests_month | integer | nullable=NO | default=50
TABLE: subscription_plans.ai_requests_day | integer | nullable=NO | default=10
TABLE: subscription_plans.ai_requests_minute_user | integer | nullable=NO | default=3
TABLE: subscription_plans.ai_input_tokens_month | bigint | nullable=NO | default=250000
TABLE: subscription_plans.ai_output_tokens_month | bigint | nullable=NO | default=100000
TABLE: subscription_plans.retention_days | integer | nullable=NO | default=365
TABLE: subscription_plans.features | jsonb | nullable=NO | default='{}'::jsonb
TABLE: subscription_plans.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: subscription_plans.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: suppliers.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: suppliers.organization_id | uuid | nullable=NO | default=none
TABLE: suppliers.plant_id | uuid | nullable=YES | default=none
TABLE: suppliers.name | text | nullable=NO | default=none
TABLE: suppliers.contact_person | text | nullable=YES | default=none
TABLE: suppliers.phone | text | nullable=YES | default=none
TABLE: suppliers.email | text | nullable=YES | default=none
TABLE: suppliers.address | text | nullable=YES | default=none
TABLE: suppliers.ntn | text | nullable=YES | default=none
TABLE: suppliers.strn | text | nullable=YES | default=none
TABLE: suppliers.payment_terms | text | nullable=YES | default='Net 30'::text
TABLE: suppliers.currency | text | nullable=NO | default='PKR'::text
